	1B	1N	2B	2N	3B	3N	4B	4N	5B	5N	6B	6N	7B	7N	8B	8N
isogroup11099_g1	0	1	4	0	0	2	4	0	2	0	0	7	1	0	10	2	
isogroup111018_g1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
isogroup111032_g1	6	9	5	0	0	0	0	0	5	1	0	2	8	3	28	5	
isogroup111051_g1	3	7	0	0	0	0	0	0	3	0	0	0	2	4	10	6	
isogroup111096_g1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
isogroup111116_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup11119_g1	1	2	1	0	0	0	1	0	1	0	0	0	6	0	4	2	
isogroup111202_g1	17	22	0	0	0	0	0	0	0	0	2	0	23	9	14	1	
isogroup111225_g1	13	14	28	6	3	26	1	0	5	2	3	20	39	14	64	13	
isogroup111241_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroup111252_g1	7	0	0	1	0	0	0	0	0	0	0	0	12	2	7	0	
isogroup111269_g1	0	0	0	0	0	0	0	0	0	6	0	0	11	10	61	7	
isogroup111272_g1	4	6	9	1	0	4	0	0	1	2	1	3	1	2	24	3	
isogroup111286_g1	0	1	0	0	0	0	0	0	0	3	0	1	0	1	0	2	
isogroup111309_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
isogroup111344_g1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	
isogroup111345_g1	50	66	42	27	9	33	2	0	13	24	0	31	155	75	466	44	
isogroup111364_g1	0	1	3	0	0	17	1	0	1	3	0	5	1	0	10	7	
isogroup111397_g1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	2	2	
isogroup111408_g1	15	6	0	0	2	6	0	0	1	5	0	5	1	0	8	3	
isogroup111427_g1	4	6	1	3	0	9	0	4	0	13	0	10	4	2	25	9	
isogroup111459_g1	0	0	0	0	0	0	6	0	0	5	2	11	8	0	2	0	
isogroup111461_g1	0	7	0	0	0	0	0	0	0	2	0	0	2	9	22	1	
isogroup111469_g1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	
isogroup111510_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	6	
isogroup11156_g1	20	20	8	7	7	1	0	0	0	4	3	12	7	7	42	10	
isogroup11156_g2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	
isogroup111580_g1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup111583_g1	0	0	1	0	0	0	0	0	0	13	0	0	0	1	13	0	
isogroup111605_g1	0	0	0	0	8	1	0	0	5	4	0	0	0	0	1	0	
isogroup111611_g1	0	2	1	0	4	17	0	0	0	0	0	5	3	4	21	1	
isogroup111623_g1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	
isogroup111633_g1	7	0	0	0	0	0	0	0	0	3	0	1	2	3	10	0	
isogroup111643_g1	4	0	0	2	0	11	0	0	0	0	0	0	0	0	0	0	
isogroup111654_g1	0	0	0	0	0	0	0	0	0	1	1	2	4	0	0	3	
isogroup111686_g1	4	4	0	0	0	2	0	0	0	0	0	7	7	5	70	12	
isogroup111694_g1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
