X,X1B,X1N,X2B,X2N,X3B,X3N,X5B,X5N,X6B,X6N,X7B,X7N,X8B,X8N,fitPatch,adjp.p,pval.p,adjp.g,pval.g,adjp.pc1,pval.pc1,direction,pval,binary
isogroup51080_g1,7.65739202670511,8.23561988897279,7.35274696261293,7.97710163655719,7.58919627040785,8.35183378774206,7.64776516532235,8.39811914110012,7.84626502841152,8.74274613122995,7.5068057239843,8.67109266548473,7.46716540460017,8.06912375632908,-0.859948623921679,2.51243470472673e-12,1.11022302462516e-16,0.000293603600024218,4.87047244582817e-05,5.97106897259891e-09,2.71116462613463e-13,-1,-9.99999951783653,1
isogroup51099_g1,8.5414666874457,8.89200229775728,10.3553290287313,10.5300016753913,9.54961821177326,9.97057548529633,9.18328509388638,9.64286535960176,8.95476180050391,9.70177186534927,8.66277981172015,9.21460004687031,8.88351539684766,9.17712260595787,-0.428349494718007,1.33770434054825e-05,7.09343883631419e-09,0,0,0.00449643505583905,2.04160690875366e-06,-1,-8.14306344472128,1
isogroup51160_g3,5.12534166267337,5.15130011417308,4.96951164023288,4.74853710470633,5.84866635897274,5.47851334857843,6.75745043486309,6.09177831692267,6.96871222608292,6.3570022923862,5.48980899782253,5.06138852160229,5.24990606447388,5.08260182905083,0.641437057680545,0.0350172004691763,0.000458024363184983,0,0,0.884789993179651,0.0295669256260379,1,3.33911132561508,1
isogroup51186_g1,4.62877066218837,4.95322573636203,4.88672985808531,5.32923593627472,4.53341728409419,6.11550266076679,5.39249368904855,5.93442500647675,5.0112945522108,6.03254607915902,4.12259296054564,5.39802167937415,4.58892862057724,5.00912984347334,-1.87551613682508,0.0350172004691763,0.000457837119077209,0.0990420538029289,0.0442472454241101,0.884789993179651,0.0105454133775977,-1,-3.33928890501486,1
isogroup51277_g1,8.254918614212,8.51576108985201,7.0066222191284,7.80581012722599,7.61666683970371,8.63846794056512,6.35401218590995,7.56271357480776,7.74441211366493,8.02797047782988,6.88868192002714,7.70410694582094,7.14884320682002,8.01211106943258,-0.862552974694748,0.000156274671706502,2.2788617615177e-07,5.64411942814156e-06,5.95588033336369e-07,0.0305159718608635,3.3253874167305e-05,-1,-6.64209148546891,1
isogroup51298_g1,4.7528741164472,4.40672960277586,5.41429266581262,4.74853710470633,5.37849869666072,4.35735687116854,3.79936497857006,3.79936497857006,3.79936497857006,4.39252099455388,5.12630518114373,4.84024981095888,4.65667296249703,4.35297627701487,1.357427212654,0.0702741863168719,0.00131045985973133,7.12170072078082e-05,9.95270159298567e-06,0.884789993179651,0.0338641897739477,1,2.8825762441057,1
isogroup51364_g3,11.6312988854693,11.8993020815113,12.2272884696368,12.2517950459183,11.7411808852271,12.4727752583366,11.2556064943273,11.8374345338261,11.3242776810488,11.6232075829223,11.5559033084889,12.0876201628741,11.59275296361,11.8147263921332,-0.381632564658498,0.00724588601563289,4.22650001795644e-05,8.98572092067143e-05,1.29445206369372e-05,0.383175428226986,0.00186159511534179,-1,-4.37401809729331,1
isogroup51413_g1,4.95721647674309,4.91597036384892,6.50223844515413,5.39120409534843,7.01643219057832,4.89574372847549,7.80807851972821,5.78251641097261,6.96871222608292,5.54762837988806,5.83498513035376,5.20010018098925,5.05613446669425,4.88742279534702,1.72212109899696,0.0202532627287495,0.000189803999778304,0.000163175668316736,2.53235946587882e-05,0.715175717958323,0.00461110388440256,1,3.7216944110243,1
isogroup51545_g1,7.20100747845694,6.60322119272738,7.71905190473145,7.06782867508298,7.44330167029893,6.73001438903018,7.56031899886804,7.21393951087077,6.84165911433162,6.26760967225455,8.00323897650049,7.38090424786962,6.08185316282068,6.17399894776495,0.57928078937485,0.0154196985556909,0.000127275482939226,2.81505289045012e-14,8.88178419700125e-16,0.845776364689229,0.00637481277417418,1,3.89525490515914,1
isogroup51701_g1,9.24160367964006,7.90249806965383,8.55280444905087,8.01253821748981,9.47689250371674,9.7585955711694,8.45595583571042,7.56271357480776,8.74290157653042,8.22158006821234,8.36359907535171,7.37263529444147,8.01854059331384,6.13021978964371,0.964901656748432,0.0869206266979881,0.00196272382866425,0.00256794903946142,0.000571689229377226,0.884789993179651,0.0261789649201497,1,2.70714078276855,1
isogroup51865_g1,5.12534166267337,4.65219385806482,4.25200318827849,4.28032654313213,5.51413969418408,4.70148298711406,4.95300973341275,4.8476599698411,5.79724346684035,4.91517012795019,4.97823253966246,4.70550843916137,5.11363151528422,4.92974551053691,1.0115334710286,0.0910251044407164,0.00216400822753449,0.0717688336546667,0.0297289846206903,0.884789993179651,0.0666843994676835,1,2.6647410723107,1
isogroup51881_g1,4.95721647674309,5.12084085158307,4.57712422068147,4.47646989191237,5.74679189245514,6.24608323935121,4.38759590782054,4.90836531125325,4.66854427542054,5.00724395270266,4.48013642501852,5.10969932146412,4.84571963769267,5.58562708546478,-1.162599905733,0.0387478624761579,0.000529080402347892,5.36796369741759e-08,3.80003439826027e-09,0.884789993179651,0.0223620293818859,-1,-3.27647824277477,1
isogroup51938_g3,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,4.62568220694741,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,3.79936497857006,4.29914404574198,3.79936497857006,34.8968241018225,0.0895719921944135,0.00209126919961611,0.00367341762410831,0.000861134798758045,0.884789993179651,0.220800322871781,1,2.67959003805437,1
isogroup51944_g1,6.22728378863544,6.8382727926511,4.57712422068147,4.47646989191237,6.19118303518104,6.13065714831229,5.90222671483574,6.69679481613622,5.4693284986816,6.61872733340121,6.01922951336081,7.3133657873311,6.49996332717807,7.01599419178433,-0.933712342779178,0.0691160560428472,0.00127053819327549,6.3549559025793e-08,4.55770809981715e-09,0.884789993179651,0.0294123187227483,-1,-2.89601224103658,1
isogroup51970_g1,10.0297574216681,10.4100164827642,8.79670162408652,9.99346209636727,9.02504854131962,10.7449879322992,9.45348265764409,10.2572218312314,8.79463160923496,9.83595779780509,9.35833119412386,10.5602839027141,8.90095206533317,9.33389063415888,-0.995110058674746,8.5632228979371e-05,9.40489460754534e-08,0.0150492394939826,0.00448418125974037,0.0142660427880642,1.36027469374023e-05,-1,-7.02618453721053,1
isogroup51977_g1,6.2114686443149,5.81592362444643,6.05263779328425,5.50603353350599,6.11351830920832,5.50345288587351,6.01674816549691,5.51356487892181,6.05746361148433,5.69936189928936,5.60838348563729,5.36111453036321,5.81960487444383,5.21553954714632,0.797366238928777,0.000709827300493381,1.8192657281757e-06,0.12761612619121,0.0610843075078739,0.233668562755088,0.000806339028758929,1,5.74007999045649,1
