gene,pval
isogroup118954_g1,-1.1625832821543
isogroup118973_g1,0.5924560810475
isogroup118976_g1,0.11081040052493
isogroup119008_g1,1.09077000193592
isogroup119023_g1,1.68884098897034
isogroup119027_g1,0.310340434478582
isogroup11904_g1,0.0904595011385023
isogroup119069_g1,0.290086227936792
isogroup11906_g1,0.551106262217057
isogroup119072_g1,0.47289814672277
isogroup119080_g1,0.358979806912829
isogroup119084_g1,-2.15716443022319
isogroup119104_g1,2.80845019044801
isogroup119116_g1,0.0448254268298189
isogroup119140_g1,0.498119260258601
isogroup119164_g1,0.20802317450515
isogroup119165_g1,-0.11143781173808
isogroup119214_g1,0.110613343747367
isogroup119292_g1,0.597863346409208
isogroup119313_g1,0.553879691752627
isogroup119422_g1,0.133914776231527
isogroup119460_g1,0.742995121805686
isogroup119504_g1,-0.776597561108263
isogroup119539_g1,-0.260664998507303
isogroup119560_g1,0.579612217286484
isogroup119576_g1,0.658318323044593
isogroup1195_g1,-0.541132564168175
isogroup119657_g1,0.169579729772654
isogroup119668_g1,1.52060381096275
isogroup119685_g1,-0.0128248895171719
isogroup119712_g1,-0.800472536547334
isogroup119749_g1,-0.547141513886498
isogroup119797_g1,-0.442929974331072
isogroup119896_g1,-0.409205216573108
isogroup119927_g1,0.225907023880673
isogroup11992_g1,0.0229137672659058
isogroup119964_g1,0.83451075301058
isogroup120036_g1,-0.00510322746247715
isogroup120151_g1,0.0439740004600999
isogroup120160_g1,-0.504062858604882
isogroup120163_g1,-0.363568742754944
isogroup120184_g1,1.09418121290896
isogroup120330_g1,0.304973646141229
isogroup120335_g1,0.155457570717604
isogroup120346_g1,1.13649415696233
isogroup120352_g1,-0.013480263842057
isogroup120360_g1,0.658318323044593
isogroup120373_g1,0.0291509944571107
isogroup120383_g1,0.203602872543761
isogroup12041_g1,-0.35309037295737
isogroup120438_g1,0.321257597317565
isogroup12049_g1,-0.491019884908831
isogroup12051_g1,0.66245069943603
isogroup120526_g1,-1.05972351403443
isogroup12064_g1,-0.394423265506907
isogroup120714_g1,-0.275119064145173
isogroup120821_g1,0.68735749075032
isogroup120828_g1,-0.470733805892826
isogroup12084_g1,-0.150964350262368
isogroup120877_g1,1.41272465975812
isogroup120883_g1,0.218681873741777
isogroup120913_g1,-0.0118972399145695
isogroup120968_g1,0.614204795882491
isogroup120995_g1,-0.347081879232513
isogroup121121_g1,1.0018293011569
isogroup121143_g1,-0.0245889154862029
isogroup121155_g1,0.456743387721762
isogroup121182_g1,0.152558042836715
isogroup121193_g1,0.342923137975753
isogroup121232_g1,-0.105682110020146
isogroup121293_g1,0.702553698690975
isogroup121320_g1,0.566819385699529
isogroup121374_g1,-0.526852690230422
isogroup1213_g1,1.32076027131179
