X,binary
isogroup121901_g1,0
isogroup121917_g1,0
isogroup121961_g1,0
isogroup121974_g1,0
isogroup122046_g1,0
isogroup122048_g1,0
isogroup122056_g1,0
isogroup12205_g1,0
isogroup122154_g1,0
isogroup122161_g1,0
isogroup122204_g1,0
isogroup122222_g1,0
isogroup122293_g1,0
isogroup122332_g1,0
isogroup122393_g1,0
isogroup122394_g1,0
isogroup12250_g1,1
isogroup122604_g1,0
isogroup12264_g1,0
isogroup12271_g1,0
isogroup122796_g1,0
isogroup122820_g1,0
isogroup122823_g1,0
isogroup12286_g1,0
isogroup122982_g1,0
isogroup122_g1,0
isogroup12317_g1,0
isogroup123214_g1,0
isogroup123286_g1,0
isogroup123322_g1,0
isogroup12333_g1,0
isogroup123383_g1,0
isogroup123572_g1,0
isogroup12359_g1,0
isogroup123731_g1,0
isogroup123738_g1,0
isogroup123824_g1,0
isogroup12392_g1,0
isogroup123990_g1,0
isogroup124004_g1,0
isogroup124052_g1,0
isogroup12410_g1,0
isogroup124186_g1,0
isogroup124194_g1,0
isogroup124243_g1,0
isogroup124321_g1,0
isogroup12435_g1,0
isogroup124431_g1,0
isogroup124474_g1,0
isogroup12455_g1,0
isogroup124574_g1,0
isogroup124581_g1,0
isogroup124616_g1,0
isogroup124639_g1,0
isogroup12477_g1,0
isogroup124790_g1,0
isogroup124827_g1,0
isogroup124831_g1,0
isogroup124899_g1,0
isogroup124902_g1,0
isogroup124955_g1,0
isogroup124990_g1,0
isogroup124993_g1,0
isogroup125006_g1,0
isogroup125015_g1,0
isogroup12508_g1,0
isogroup125090_g1,0
isogroup125148_g1,0
isogroup125384_g1,0
isogroup12540_g1,0
isogroup125434_g1,0
isogroup12548_g1,0
isogroup12553_g1,0
isogroup12559_g1,0
isogroup1255_g1,0
isogroup12574_g1,0
isogroup125774_g1,0
isogroup12585_g1,0
isogroup125897_g1,0
isogroup1258_g1,0
isogroup125950_g1,0
isogroup12599_g1,0
isogroup126094_g1,0
isogroup126130_g1,0
isogroup126142_g1,0
isogroup126213_g1,0
isogroup126284_g1,0
isogroup126336_g1,0
isogroup126401_g1,0
isogroup12641_g1,0
isogroup126518_g1,0
isogroup126533_g1,0
isogroup126600_g1,0
isogroup126609_g1,0
isogroup126646_g1,0
isogroup126813_g1,0
isogroup126922_g1,0
isogroup127155_g1,0
isogroup12717_g1,0
isogroup12722_g1,0
isogroup12729_g1,0
isogroup127419_g1,0
isogroup12744_g2,0
isogroup127614_g1,0
isogroup127615_g1,0
isogroup12765_g1,0
isogroup12779_g1,0
isogroup127932_g1,0
isogroup12803_g1,0
isogroup128063_g1,0
isogroup128077_g1,0
isogroup128123_g1,0
isogroup128230_g1,0
isogroup128260_g1,0
isogroup12828_g1,0
isogroup12829_g1,0
isogroup12830_g1,0
isogroup1283_g1,0
isogroup128579_g1,0
isogroup128897_g1,0
isogroup12893_g1,0
isogroup12897_g1,0
isogroup128_g1,0
isogroup129152_g1,0
isogroup129158_g1,0
isogroup12915_g1,0
isogroup129306_g1,0
isogroup12940_g1,0
isogroup129461_g1,0
isogroup12949_g1,0
isogroup1294_g1,0
isogroup12961_g1,0
isogroup12966_g1,0
isogroup129754_g1,0
isogroup12984_g1,0
isogroup12989_g1,0
isogroup129950_g1,0
isogroup13002_g1,0
isogroup130069_g1,0
isogroup13006_g1,0
isogroup13012_g1,0
isogroup13013_g1,0
isogroup13028_g1,0
isogroup13038_g1,0
isogroup13072_g1,0
isogroup130746_g1,0
isogroup13085_g1,0
isogroup13099_g1,0
isogroup13102_g2,0
isogroup131100_g1,0
isogroup13119_g2,0
isogroup13130_g1,0
isogroup13134_g1,0
isogroup13138_g1,0
isogroup13138_g2,0
isogroup13141_g1,0
isogroup13142_g1,0
isogroup13149_g1,0
isogroup1314_g2,0
isogroup13154_g1,0
isogroup13154_g2,0
isogroup13171_g1,0
isogroup13207_g1,0
isogroup13223_g1,0
isogroup1324_g1,0
isogroup13260_g1,0
isogroup13273_g1,0
isogroup13277_g1,0
isogroup13280_g1,0
isogroup13282_g1,0
isogroup13284_g1,0
isogroup132970_g1,0
isogroup132981_g1,0
isogroup133031_g1,0
isogroup133037_g1,0
isogroup133095_g1,0
isogroup13311_g1,0
isogroup133133_g1,0
isogroup133141_g1,1
isogroup133145_g1,1
isogroup13320_g1,0
isogroup133342_g1,0
isogroup13334_g1,0
isogroup133384_g1,0
isogroup133437_g1,0
isogroup133459_g1,0
isogroup133477_g1,0
isogroup1334_g1,0
isogroup133537_g1,0
isogroup133567_g1,0
isogroup13356_g1,0
isogroup133600_g1,0
isogroup133618_g1,0
isogroup13361_g1,0
isogroup133636_g1,0
isogroup133678_g1,0
isogroup133701_g1,0
isogroup133717_g1,0
isogroup133736_g1,0
isogroup133739_g1,0
isogroup133758_g1,0
isogroup133764_g1,0
isogroup133783_g1,0
isogroup133803_g1,1
isogroup133809_g1,0
isogroup13381_g1,0
isogroup13382_g1,0
isogroup133842_g1,0
isogroup133881_g1,0
isogroup133885_g1,0
isogroup133929_g1,0
isogroup133992_g1,1
isogroup133998_g1,0
isogroup134033_g1,0
isogroup13405_g1,0
isogroup134080_g1,0
isogroup134103_g1,0
isogroup134215_g1,0
isogroup134219_g1,0
isogroup134264_g1,0
isogroup13426_g1,0
isogroup134281_g1,0
isogroup134306_g1,1
isogroup134320_g1,0
isogroup134336_g1,0
isogroup13437_g1,0
isogroup134407_g1,0
isogroup134420_g1,0
isogroup13451_g1,0
isogroup13451_g2,1
isogroup134532_g1,0
isogroup134539_g1,0
isogroup134544_g1,0
isogroup134552_g1,0
isogroup134605_g1,0
isogroup13460_g1,0
isogroup134697_g1,0
isogroup13470_g1,0
isogroup134792_g1,0
isogroup134797_g1,0
isogroup13482_g1,0
isogroup134831_g1,0
isogroup134846_g1,0
isogroup134884_g1,0
isogroup134895_g1,0
isogroup134902_g1,0
isogroup13490_g1,0
isogroup13491_g1,0
isogroup134931_g1,0
isogroup134947_g1,0
isogroup13495_g1,0
isogroup13499_g1,0
isogroup135021_g1,0
isogroup135039_g1,0
isogroup135084_g1,0
isogroup135094_g1,0
isogroup135110_g1,0
isogroup135130_g1,0
isogroup13515_g1,0
isogroup135166_g1,0
isogroup135174_g1,1
isogroup13518_g1,0
isogroup13521_g1,0
isogroup135249_g1,0
isogroup135259_g1,0
isogroup135282_g1,0
isogroup135292_g1,0
isogroup135332_g1,0
isogroup135337_g1,0
isogroup135412_g1,0
isogroup135429_g1,0
isogroup1354_g2,0
isogroup135502_g1,0
isogroup135509_g1,0
isogroup135525_g1,0
isogroup13553_g1,0
isogroup135614_g1,0
isogroup135620_g1,0
isogroup135681_g1,0
isogroup135684_g1,0
isogroup135730_g1,0
isogroup135753_g1,0
isogroup135755_g1,0
isogroup135761_g1,0
isogroup135818_g1,0
isogroup135831_g1,0
isogroup135834_g1,1
isogroup135861_g1,0
isogroup135893_g1,0
isogroup135908_g1,0
isogroup135923_g1,0
isogroup135941_g1,0
isogroup13594_g1,0
isogroup135972_g1,0
isogroup135989_g1,0
isogroup136031_g1,0
isogroup136043_g1,0
isogroup136087_g1,0
isogroup136111_g1,0
isogroup136117_g1,0
isogroup136132_g1,0
isogroup136242_g1,0
isogroup136255_g1,0
isogroup13625_g1,0
isogroup136283_g1,0
isogroup136301_g1,0
isogroup136308_g1,0
isogroup136336_g1,0
isogroup13634_g1,0
isogroup136357_g1,0
isogroup136408_g1,0
isogroup136428_g1,0
isogroup136440_g1,0
isogroup136463_g1,0
isogroup136483_g1,0
isogroup136527_g1,0
isogroup13652_g1,0
isogroup136575_g1,0
isogroup136577_g1,0
isogroup136603_g1,0
isogroup136619_g1,0
isogroup136644_g1,0
isogroup136687_g1,0
isogroup136698_g1,0
isogroup136702_g1,0
isogroup136705_g1,0
isogroup136716_g1,0
isogroup136740_g1,0
isogroup13680_g1,0
isogroup136853_g1,0
isogroup13687_g1,0
isogroup136880_g1,0
isogroup1368_g1,0
isogroup136934_g1,1
isogroup13695_g1,0
isogroup136968_g1,0
isogroup13697_g1,0
isogroup136994_g1,0
isogroup136997_g1,0
isogroup137002_g1,0
isogroup137038_g1,0
isogroup137049_g1,0
isogroup137080_g1,0
isogroup137166_g1,0
isogroup137195_g1,0
isogroup137215_g1,0
isogroup137236_g1,0
isogroup137254_g1,0
isogroup137270_g1,0
isogroup137286_g1,0
isogroup13729_g1,0
isogroup137350_g1,0
isogroup13736_g1,0
isogroup13743_g1,0
isogroup137456_g1,0
isogroup137477_g1,0
isogroup137513_g1,0
isogroup137563_g1,0
isogroup137567_g1,0
isogroup13756_g1,0
isogroup137592_g1,0
isogroup137608_g1,0
isogroup137664_g1,0
isogroup137694_g1,0
isogroup137729_g1,0
isogroup137736_g1,0
isogroup137762_g1,0
isogroup13776_g1,0
isogroup13778_g1,0
isogroup137862_g1,0
isogroup13795_g1,1
isogroup138048_g1,0
isogroup138080_g1,0
isogroup138150_g1,0
isogroup138184_g1,0
isogroup138190_g1,0
isogroup1381_g2,0
isogroup138206_g1,0
isogroup138220_g1,0
isogroup13829_g1,0
isogroup138306_g1,0
isogroup138337_g1,0
isogroup13836_g1,0
isogroup138386_g1,0
isogroup13838_g1,0
isogroup1383_g1,0
isogroup138441_g1,0
isogroup138465_g1,0
